date;heure;GEN;GON;A1;RUR-SE;RN6;RAMBO;RUR_S;BOB;PA04C;VITRY;AUT;RUR_N;BP_EST
23/11/2016;2;21;13;12;6;7;10;9;14;18;16;9;9;18
23/11/2016;3;16;12;11;5;7;12;11;10;14;10;11;9;11
23/11/2016;4;12;7;10;4;4;9;8;6;7;9;10;9;9
23/11/2016;5;10;5;10;5;1;11;8;5;8;6;12;12;16
23/11/2016;6;6;9;10;7;9;7;6;10;7;6;19;9;25
23/11/2016;7;9;9;24;6;18;4;4;11;14;10;19;11;20
23/11/2016;8;12;12;19;5;21;6;9;11;14;13;16;10;21
23/11/2016;9;13;14;16;6;18;5;10;16;15;17;20;12;26
23/11/2016;10;15;14;22;9;14;9;8;15;17;16;19;8;31
23/11/2016;11;16;10;19;9;18;15;6;15;19;12;23;10;33
23/11/2016;12;15;13;17;5;23;18;6;11;20;10;28;11;25
23/11/2016;13;n/d;9;17;5;16;14;9;12;22;9;28;11;37
23/11/2016;14;17;10;22;7;9;16;7;10;23;19;30;11;33
23/11/2016;15;17;10;18;4;8;11;9;8;19;14;24;13;25
23/11/2016;16;15;12;22;6;13;19;8;10;17;13;28;12;27
23/11/2016;17;15;12;19;5;26;20;8;17;16;11;26;11;27
23/11/2016;18;14;10;22;7;17;22;6;18;18;10;20;15;28
23/11/2016;19;17;12;20;6;7;11;6;10;20;17;24;9;23
23/11/2016;20;15;11;16;5;9;12;9;15;21;11;27;8;26
23/11/2016;21;12;12;20;6;12;9;7;14;16;11;20;13;21
23/11/2016;22;14;11;18;7;12;9;6;15;14;7;19;13;16
23/11/2016;23;14;15;13;10;15;11;8;11;15;11;17;15;21
23/11/2016;24;14;12;17;9;9;9;8;15;15;9;18;13;17
24/11/2016;1;16;9;10;10;7;12;6;10;14;5;17;18;15
24/11/2016;2;14;11;10;9;12;8;6;9;14;5;16;18;17
24/11/2016;3;15;15;11;7;11;6;7;12;14;11;16;18;11
24/11/2016;4;18;15;18;4;10;7;9;13;17;12;16;17;26
24/11/2016;5;20;14;15;7;14;5;10;15;18;14;21;17;18
24/11/2016;6;17;16;23;12;14;10;8;12;18;16;27;19;24
24/11/2016;7;16;12;20;9;10;9;7;18;16;11;24;16;21
24/11/2016;8;20;12;23;10;55;10;10;15;18;12;20;15;25
24/11/2016;9;19;15;19;8;21;13;7;14;18;16;19;16;22
24/11/2016;10;16;12;19;7;19;11;n/d;14;18;21;25;11;23
24/11/2016;11;17;12;25;10;49;10;n/d;14;19;15;25;13;26
24/11/2016;12;12;12;17;10;n/d;13;7;n/d;17;10;24;15;33
24/11/2016;13;12;n/d;22;8;n/d;12;6;11;19;11;19;17;21
24/11/2016;14;14;n/d;24;9;13;9;5;12;19;11;28;20;22
24/11/2016;15;19;n/d;26;8;11;7;7;14;20;10;24;20;22
24/11/2016;16;20;n/d;27;6;12;17;10;20;23;19;28;19;38
24/11/2016;17;23;22;32;11;23;21;9;21;27;17;26;20;39
24/11/2016;18;23;20;28;9;15;16;8;21;26;24;33;18;32
24/11/2016;19;22;25;32;10;25;19;10;19;26;25;28;17;33
24/11/2016;20;26;17;25;9;23;25;11;21;28;19;30;20;33
24/11/2016;21;23;17;22;11;25;20;21;18;n/d;22;26;20;28
24/11/2016;22;20;17;19;12;20;18;17;21;23;20;28;19;24
24/11/2016;23;20;25;20;13;18;14;13;19;23;22;27;22;20
24/11/2016;24;25;19;24;13;15;15;16;19;23;24;24;25;24
25/11/2016;1;26;23;20;13;18;18;15;21;25;25;24;23;26
25/11/2016;2;25;26;19;14;16;25;16;21;26;19;26;23;22
25/11/2016;3;26;20;21;14;17;22;17;22;29;26;24;22;27
25/11/2016;4;24;24;20;20;15;22;18;n/d;27;23;23;21;23
25/11/2016;5;25;24;26;14;18;23;17;23;25;25;27;25;24
25/11/2016;6;26;26;25;11;16;19;16;25;24;19;29;25;28
25/11/2016;7;26;24;28;14;20;25;18;24;24;25;32;23;34
25/11/2016;8;23;24;26;16;23;21;14;25;27;21;28;24;32
25/11/2016;9;25;21;24;15;24;19;17;22;29;24;31;20;31
25/11/2016;10;23;21;25;14;18;21;17;21;29;24;33;23;30
25/11/2016;11;24;23;28;16;16;16;18;19;25;21;34;20;32
25/11/2016;12;25;20;26;11;18;21;14;20;25;20;33;21;31
25/11/2016;13;22;17;26;12;20;19;n/d;23;27;20;28;21;33
25/11/2016;14;22;20;28;11;18;20;n/d;18;26;16;33;14;32
25/11/2016;15;20;15;26;12;22;20;n/d;22;24;16;29;21;33
25/11/2016;16;19;16;27;13;18;20;n/d;20;24;19;24;24;30
25/11/2016;17;18;17;20;14;21;21;n/d;15;22;20;28;21;28
25/11/2016;18;24;17;30;16;21;18;n/d;n/d;19;20;33;25;28
25/11/2016;19;27;20;25;13;18;17;18;16;21;17;28;25;24
25/11/2016;20;28;19;30;13;24;15;18;23;22;21;25;23;37
25/11/2016;21;25;24;29;11;25;19;20;20;24;19;32;24;42
25/11/2016;22;25;24;29;10;19;30;18;21;26;27;29;20;36
25/11/2016;23;24;24;26;17;20;24;20;20;28;19;35;21;28
25/11/2016;24;23;18;22;16;15;21;14;23;26;13;38;17;33
26/11/2016;1;25;22;26;6;21;18;19;19;25;18;24;19;29
26/11/2016;2;23;19;19;7;14;24;13;18;25;19;23;19;27
26/11/2016;3;23;20;22;9;17;22;13;18;23;23;21;16;26
26/11/2016;4;22;22;24;14;14;18;11;19;22;20;24;22;23
26/11/2016;5;23;22;21;11;19;17;15;20;24;n/d;26;15;29
26/11/2016;6;23;18;23;13;19;17;16;20;23;20;24;15;36
26/11/2016;7;22;21;24;15;25;18;15;24;23;23;25;18;32
26/11/2016;8;22;17;24;20;23;15;13;21;24;22;36;20;35
26/11/2016;9;23;19;27;16;25;21;15;21;24;25;29;17;38
26/11/2016;10;25;25;30;20;22;18;15;22;27;24;28;20;32
26/11/2016;11;25;20;31;17;24;20;17;25;27;24;38;22;38
26/11/2016;12;25;21;30;15;28;20;n/d;22;29;25;33;20;36
26/11/2016;13;26;20;29;18;20;21;n/d;25;32;28;31;20;39
26/11/2016;14;26;22;31;17;26;25;17;21;34;28;31;21;34
26/11/2016;15;27;18;35;16;25;26;18;24;33;33;33;22;36
26/11/2016;16;25;17;31;16;24;29;15;20;29;35;33;25;38
26/11/2016;17;24;20;31;13;25;38;17;24;29;27;31;24;38
26/11/2016;18;26;23;35;14;34;33;18;27;30;28;30;29;34
26/11/2016;19;29;25;33;12;35;29;23;25;29;24;26;28;35
26/11/2016;20;27;25;35;12;34;26;19;26;30;26;31;27;33
26/11/2016;21;29;24;35;14;31;27;23;29;33;31;32;33;40
26/11/2016;22;30;29;29;16;29;26;20;29;34;31;29;24;37
26/11/2016;23;30;28;39;16;28;26;21;23;34;n/d;49;28;37
26/11/2016;24;31;24;38;14;25;26;19;26;32;29;33;31;38
27/11/2016;1;30;28;31;17;28;32;24;28;33;29;34;31;39
27/11/2016;2;30;27;30;15;31;26;21;26;32;24;31;25;31
27/11/2016;3;30;24;31;14;31;26;23;30;30;27;30;31;31
27/11/2016;4;29;24;29;14;22;26;14;26;30;27;25;31;29
27/11/2016;5;30;29;28;16;25;24;10;27;30;28;32;35;30
27/11/2016;6;30;27;31;14;28;24;15;27;31;25;30;30;30
27/11/2016;7;32;29;32;12;28;24;14;23;31;29;34;34;39
27/11/2016;8;34;28;45;13;26;24;12;28;33;35;35;32;38
27/11/2016;9;34;32;33;16;30;32;14;29;34;31;37;31;40
27/11/2016;10;36;30;32;15;29;25;23;29;37;29;40;36;36
27/11/2016;11;34;32;39;24;29;33;22;21;38;29;36;37;36
27/11/2016;12;32;28;26;24;24;27;21;24;34;21;39;32;34
27/11/2016;13;28;23;31;21;23;15;19;18;33;21;37;30;34
27/11/2016;14;21;18;26;23;26;18;19;n/d;33;30;33;31;32
27/11/2016;15;21;27;27;12;23;25;17;17;25;21;26;32;26
27/11/2016;16;30;25;29;16;20;18;18;28;27;26;37;31;36
27/11/2016;17;31;25;32;12;26;26;19;24;29;n/d;32;28;29
27/11/2016;18;28;26;28;13;29;27;22;21;29;20;30;22;32
27/11/2016;19;22;22;26;16;20;24;20;12;27;17;28;21;24
27/11/2016;20;23;14;22;13;15;22;17;18;22;13;25;15;27
27/11/2016;21;13;8;5;12;9;19;9;10;19;15;16;10;12
27/11/2016;22;6;7;6;10;8;10;10;7;10;11;15;12;7
27/11/2016;23;6;8;n/d;9;6;5;9;7;8;7;10;10;9
27/11/2016;24;7;9;7;7;3;2;5;8;8;5;7;7;10
28/11/2016;1;7;8;7;5;4;5;4;7;8;6;6;15;12
28/11/2016;2;8;9;6;8;6;4;5;7;7;10;9;14;10
28/11/2016;3;8;7;12;10;8;9;5;7;8;11;15;11;9
28/11/2016;4;11;11;8;8;6;9;6;8;10;9;11;12;15
28/11/2016;5;13;10;12;11;6;6;9;9;12;11;14;12;17
28/11/2016;6;14;14;17;9;10;6;10;10;14;12;16;15;23
28/11/2016;7;16;16;19;12;12;8;9;9;13;18;21;16;19
28/11/2016;8;15;14;8;11;10;11;6;10;14;10;17;14;17
28/11/2016;9;13;13;13;9;7;8;11;9;13;14;16;11;14
28/11/2016;10;9;8;n/d;6;4;6;8;8;11;12;11;9;18
28/11/2016;11;9;6;n/d;6;7;8;6;7;8;8;17;6;16
28/11/2016;12;6;4;n/d;6;6;4;5;6;9;6;18;6;12
28/11/2016;13;6;4;8;4;n/d;3;3;5;9;3;13;3;14
28/11/2016;14;5;4;12;2;n/d;4;4;6;7;3;16;0;13
28/11/2016;15;5;6;11;3;n/d;6;6;6;5;9;15;2;10
28/11/2016;16;5;7;9;0;n/d;6;4;5;5;6;13;4;14
28/11/2016;17;5;8;13;3;n/d;4;2;5;5;7;12;6;15
28/11/2016;18;6;9;17;6;n/d;4;3;4;6;9;16;15;19
28/11/2016;19;7;10;14;4;n/d;4;3;7;7;8;14;11;20
28/11/2016;20;8;8;12;5;n/d;2;8;7;8;9;14;10;12
28/11/2016;21;9;9;10;7;n/d;4;6;8;9;11;16;14;11
28/11/2016;22;7;9;7;8;n/d;6;8;5;7;9;12;11;14
28/11/2016;23;6;6;11;7;n/d;3;9;2;6;11;9;9;11
28/11/2016;24;5;8;7;3;n/d;4;6;4;7;10;6;10;9
29/11/2016;1;6;7;7;3;n/d;5;9;5;6;9;5;10;10
29/11/2016;2;6;8;6;6;n/d;3;9;7;6;8;9;8;12
29/11/2016;3;5;8;9;5;n/d;4;9;8;6;8;9;6;10
29/11/2016;4;6;6;9;3;n/d;4;10;8;8;7;10;6;10
29/11/2016;5;6;9;8;4;n/d;3;9;6;8;6;9;13;13
29/11/2016;6;6;6;17;4;n/d;5;5;8;8;7;16;8;16
29/11/2016;7;6;9;17;4;n/d;5;3;6;8;12;18;12;19
29/11/2016;8;7;11;9;6;n/d;3;4;6;9;11;13;13;18
29/11/2016;9;8;12;15;6;n/d;3;8;12;9;10;15;9;17
29/11/2016;10;11;12;16;6;n/d;10;6;11;10;10;22;7;18
29/11/2016;11;10;11;17;9;n/d;6;3;8;11;7;18;7;17
29/11/2016;12;9;10;14;5;n/d;7;4;7;11;9;24;9;19
29/11/2016;13;9;9;15;3;n/d;6;5;4;12;9;20;7;19
29/11/2016;14;10;10;17;6;n/d;4;6;8;12;10;25;6;19
29/11/2016;15;9;9;17;11;n/d;5;4;13;11;13;24;8;17
29/11/2016;16;11;12;20;8;n/d;14;7;11;11;16;17;9;18
29/11/2016;17;12;26;25;10;n/d;15;9;13;12;16;17;10;21
29/11/2016;18;17;19;20;12;n/d;14;8;18;12;n/d;19;11;29
29/11/2016;19;29;16;21;8;n/d;42;9;20;15;20;17;17;27
29/11/2016;20;34;19;26;11;n/d;43;11;26;18;31;27;15;29
29/11/2016;21;23;19;24;9;n/d;54;19;36;19;23;22;18;33
29/11/2016;22;27;18;25;10;n/d;39;23;30;19;24;25;13;29
29/11/2016;23;33;24;30;11;n/d;17;23;26;16;25;23;13;25
29/11/2016;24;35;21;29;10;n/d;23;24;31;17;21;29;10;27
30/11/2016;1;29;19;27;12;n/d;17;22;33;17;20;30;23;25
30/11/2016;2;23;21;30;15;n/d;25;22;23;20;23;31;24;21
30/11/2016;3;26;28;24;14;n/d;21;22;24;20;18;33;22;20
30/11/2016;4;25;27;24;17;n/d;18;24;16;20;19;31;19;27
30/11/2016;5;24;30;29;10;n/d;26;22;22;18;25;34;20;30
30/11/2016;6;26;28;31;7;n/d;27;22;26;19;28;33;20;34
30/11/2016;7;26;33;39;11;n/d;23;22;33;22;40;40;24;43
30/11/2016;8;31;30;38;7;n/d;27;20;41;25;42;34;25;40
30/11/2016;9;28;26;31;8;n/d;25;22;35;32;33;42;38;45
30/11/2016;10;33;28;45;15;n/d;29;23;44;n/d;35;33;16;43
30/11/2016;11;37;31;53;16;n/d;23;21;36;34;24;38;18;41
30/11/2016;12;33;30;43;14;n/d;16;16;33;36;26;41;21;40
30/11/2016;13;37;32;45;20;n/d;18;17;41;44;36;43;24;38
30/11/2016;14;41;27;47;21;28;19;15;41;50;28;45;38;35
30/11/2016;15;42;21;61;16;32;12;18;40;54;38;46;37;45
30/11/2016;16;47;29;47;15;29;23;15;41;51;42;47;36;60
30/11/2016;17;43;38;53;14;64;20;14;56;49;52;40;75;67
30/11/2016;18;46;42;51;14;65;47;15;64;46;76;42;91;67
30/11/2016;19;59;45;64;15;70;60;17;81;48;69;56;82;66
30/11/2016;20;n/d;49;81;26;53;81;15;83;50;65;65;50;78
30/11/2016;21;n/d;97;195;22;78;121;16;78;54;62;64;57;79
30/11/2016;22;98;93;92;20;84;92;17;101;50;93;65;49;79
30/11/2016;23;105;76;95;17;74;45;n/d;99;64;86;76;41;81
30/11/2016;24;106;77;101;15;95;61;25;119;66;91;68;42;88
01/12/2016;1;91;71;91;19;78;55;34;139;75;82;58;26;101
01/12/2016;2;93;63;83;24;62;68;27;135;92;76;58;31;105
01/12/2016;3;95;59;73;19;55;53;24;128;80;98;62;31;115
01/12/2016;4;87;55;79;26;50;55;30;125;87;93;51;32;115
01/12/2016;5;80;61;84;26;73;52;27;126;95;92;54;32;116
01/12/2016;6;71;67;78;29;60;52;27;120;85;74;61;35;116
01/12/2016;7;73;62;89;32;61;53;22;103;92;83;66;31;109
01/12/2016;8;68;68;93;31;56;49;27;119;107;87;56;41;111
01/12/2016;9;70;70;93;30;68;60;30;136;108;107;65;38;115
01/12/2016;10;82;86;103;30;101;57;36;142;107;89;65;35;116
01/12/2016;11;82;104;96;32;88;38;28;152;120;86;80;41;119
01/12/2016;12;80;102;83;34;88;52;29;159;131;63;75;33;126
01/12/2016;13;63;66;57;35;63;25;32;110;115;82;71;32;126
01/12/2016;14;49;62;61;32;65;23;33;43;72;89;56;30;59
01/12/2016;15;54;55;74;38;58;21;45;38;49;100;52;35;40
01/12/2016;16;59;47;81;27;69;44;41;47;57;51;60;40;34
01/12/2016;17;60;49;79;27;98;58;47;62;56;51;60;41;48
01/12/2016;18;68;55;72;27;109;80;35;88;51;58;64;42;58
01/12/2016;19;82;58;88;37;119;83;34;82;56;66;70;38;75
01/12/2016;20;90;64;94;42;97;87;43;119;60;63;71;46;68
01/12/2016;21;101;67;91;50;86;86;40;84;64;71;80;51;86
01/12/2016;22;111;56;94;51;93;111;40;85;59;81;78;48;117
01/12/2016;23;105;72;102;53;89;79;39;84;62;87;73;47;151
01/12/2016;24;101;79;110;44;117;71;36;82;63;76;63;50;153
02/12/2016;1;88;64;87;48;89;56;37;77;61;63;59;50;150
02/12/2016;2;85;49;90;46;74;55;36;76;62;116;59;48;140
02/12/2016;3;80;48;81;43;91;50;37;80;63;59;59;46;143
02/12/2016;4;76;59;75;43;85;47;38;77;62;96;56;46;132
02/12/2016;5;77;62;76;40;86;43;42;75;61;89;52;44;134
02/12/2016;6;81;50;78;49;87;38;49;82;59;106;56;45;139
02/12/2016;7;74;54;78;50;96;35;45;87;73;106;53;39;129
02/12/2016;8;67;79;65;48;96;43;49;83;115;102;48;40;125
02/12/2016;9;83;67;73;53;104;45;50;91;110;105;50;40;123
02/12/2016;10;79;68;84;54;125;44;48;85;68;109;46;34;129
02/12/2016;11;82;55;86;55;114;27;55;81;56;117;57;29;128
02/12/2016;12;80;55;73;40;132;19;59;73;63;110;53;30;121
02/12/2016;13;73;49;54;43;88;20;58;67;67;109;65;31;78
02/12/2016;14;51;44;54;51;62;31;42;48;60;57;57;38;62
02/12/2016;15;41;46;51;33;77;26;46;44;52;43;39;42;60
02/12/2016;16;42;47;54;31;86;34;74;43;47;41;39;46;58
02/12/2016;17;49;52;61;40;74;37;81;45;47;44;45;47;59
02/12/2016;18;51;45;57;52;59;41;75;44;48;52;45;37;54
02/12/2016;19;49;44;52;52;56;39;51;37;46;39;40;28;51
02/12/2016;20;47;40;51;57;52;34;37;40;45;40;40;34;47
02/12/2016;21;46;37;45;47;51;34;38;38;42;37;39;33;44
02/12/2016;22;40;34;41;34;43;36;29;34;41;36;38;31;41
02/12/2016;23;38;31;41;39;42;33;39;34;39;34;34;29;39
02/12/2016;24;35;27;38;30;45;33;39;27;37;31;39;29;39
03/12/2016;1;32;34;33;27;35;29;36;28;33;27;30;25;33
03/12/2016;2;33;30;34;32;35;29;31;29;32;32;33;25;33
03/12/2016;3;37;32;37;35;29;29;29;31;35;35;34;28;34
03/12/2016;4;35;29;32;26;25;31;28;33;37;24;29;33;33
03/12/2016;5;32;27;28;26;32;35;25;30;35;34;30;30;35
03/12/2016;6;31;27;36;23;32;29;25;26;32;33;36;24;30
03/12/2016;7;28;25;29;31;31;29;28;29;31;31;35;21;32
03/12/2016;8;24;17;24;31;26;29;24;25;29;27;33;18;33
03/12/2016;9;22;19;29;25;18;15;19;19;26;23;29;17;29
03/12/2016;10;19;18;21;7;17;15;13;19;24;21;30;18;26
03/12/2016;11;18;14;16;7;18;11;9;10;19;18;23;13;17
03/12/2016;12;13;10;15;6;13;9;9;13;17;12;23;11;22
03/12/2016;13;12;8;16;7;16;6;8;11;15;9;25;9;17
03/12/2016;14;11;9;9;7;16;8;8;9;14;10;17;6;23
03/12/2016;15;8;13;20;7;13;7;11;10;13;14;17;7;21
03/12/2016;16;10;10;14;9;18;11;9;12;12;12;16;8;15
03/12/2016;17;9;9;18;10;16;11;9;10;12;10;18;6;17
03/12/2016;18;11;11;18;10;14;8;11;12;12;17;18;11;17
03/12/2016;19;12;14;20;12;16;10;10;18;16;19;20;10;26
03/12/2016;20;12;12;18;13;18;9;11;16;18;12;24;11;33
03/12/2016;21;13;8;15;14;22;15;11;19;22;21;26;16;26
03/12/2016;22;13;8;15;13;13;13;15;19;21;17;19;14;21
03/12/2016;23;12;11;12;10;14;13;12;11;18;16;24;9;21
03/12/2016;24;11;9;15;8;9;14;10;13;13;15;21;10;16
04/12/2016;1;12;12;10;9;7;10;10;14;12;15;12;11;18
04/12/2016;2;10;11;16;9;9;10;13;12;12;12;18;9;20
04/12/2016;3;11;9;9;7;7;9;11;11;12;15;13;11;14
04/12/2016;4;12;12;13;5;11;9;8;9;11;15;12;11;13
04/12/2016;5;11;11;13;9;9;9;8;10;11;12;16;10;15
04/12/2016;6;12;13;15;8;13;8;14;13;10;11;14;13;16
04/12/2016;7;13;19;17;11;18;11;10;11;12;14;17;13;18
04/12/2016;8;15;19;21;13;19;9;13;15;12;14;16;11;16
04/12/2016;9;16;17;22;10;20;11;9;15;15;16;19;14;22
04/12/2016;10;17;17;21;13;22;10;11;17;16;17;24;13;23
04/12/2016;11;21;18;29;16;20;12;11;16;19;21;22;15;26
04/12/2016;12;25;21;27;13;23;16;12;21;23;21;26;19;31
04/12/2016;13;27;20;29;18;22;21;16;21;27;22;28;13;31
04/12/2016;14;28;19;31;18;17;19;17;18;30;18;31;21;34
04/12/2016;15;28;21;30;18;22;21;14;24;30;24;32;19;36
04/12/2016;16;29;22;33;22;28;26;19;26;29;23;32;21;34
04/12/2016;17;32;25;42;20;24;32;19;29;28;29;33;19;38
04/12/2016;18;32;35;43;20;34;31;18;30;31;27;34;19;51
04/12/2016;19;35;41;46;22;38;25;25;35;35;41;32;27;48
04/12/2016;20;40;37;41;19;37;31;26;51;37;38;32;26;54
04/12/2016;21;46;33;41;16;65;34;24;56;39;40;29;24;53
04/12/2016;22;47;28;39;20;69;38;25;48;37;43;46;26;48
04/12/2016;23;39;30;35;22;68;32;27;49;42;41;49;27;44
04/12/2016;24;35;31;34;23;52;25;27;42;43;40;38;23;38
05/12/2016;1;35;31;27;22;59;22;32;38;38;41;40;27;34
05/12/2016;2;33;23;26;25;50;21;24;33;32;30;32;27;31
05/12/2016;3;32;23;25;19;47;23;26;34;29;33;26;27;35
05/12/2016;4;29;27;25;17;33;22;24;30;29;28;25;25;30
05/12/2016;5;30;27;31;22;33;24;25;31;30;30;38;25;37
05/12/2016;6;31;30;37;21;40;21;21;31;32;34;35;27;41
05/12/2016;7;31;32;38;21;45;25;21;28;31;33;30;27;42
05/12/2016;8;34;35;36;25;52;25;22;29;34;30;33;25;45
05/12/2016;9;39;38;43;24;51;21;23;32;36;29;34;26;44
05/12/2016;10;42;31;47;18;41;21;22;38;39;38;37;28;50
05/12/2016;11;44;29;50;21;37;17;22;35;43;39;38;32;49
05/12/2016;12;51;32;52;15;36;19;19;41;47;33;42;31;47
05/12/2016;13;51;38;49;16;28;22;14;36;46;31;40;33;49
05/12/2016;14;51;37;52;14;25;20;16;36;48;34;40;33;51
05/12/2016;15;50;36;58;15;29;16;13;37;49;36;48;29;46
05/12/2016;16;51;34;56;19;34;22;13;46;48;41;46;27;49
05/12/2016;17;47;46;53;21;53;25;19;44;45;42;59;36;60
05/12/2016;18;45;60;58;26;61;24;18;53;46;42;52;34;62
05/12/2016;19;50;49;73;28;64;28;27;48;46;46;40;28;67
05/12/2016;20;62;57;71;23;69;39;23;52;46;43;46;36;65
05/12/2016;21;69;64;62;24;72;56;27;56;48;64;45;33;60
05/12/2016;22;72;58;72;26;67;45;26;94;49;67;42;39;60
05/12/2016;23;68;46;83;31;52;51;26;92;50;51;39;39;59
05/12/2016;24;65;47;59;29;51;52;27;93;48;52;43;37;64
06/12/2016;1;61;45;53;31;56;28;30;80;48;41;45;34;59
06/12/2016;2;57;41;54;34;47;28;30;79;47;46;40;36;66
06/12/2016;3;51;40;54;35;52;25;28;81;47;41;45;41;62
06/12/2016;4;50;37;55;24;45;27;29;75;51;44;40;38;64
06/12/2016;5;51;40;50;31;45;25;28;65;56;40;41;38;66
06/12/2016;6;51;43;59;27;50;29;32;57;54;44;36;39;77
06/12/2016;7;55;46;63;32;45;29;22;55;51;47;42;40;74
06/12/2016;8;63;46;70;29;52;43;29;49;50;50;47;42;65
06/12/2016;9;66;47;76;30;58;49;28;46;53;46;52;44;61
06/12/2016;10;72;55;74;28;52;33;35;55;54;47;56;48;65
06/12/2016;11;77;52;78;23;51;n/d;32;60;59;47;54;51;63
06/12/2016;12;77;63;66;21;55;n/d;32;55;63;46;50;54;61
06/12/2016;13;66;59;68;22;45;29;26;47;65;42;56;56;73
06/12/2016;14;61;57;63;21;43;22;30;47;63;45;61;54;53
06/12/2016;15;57;59;62;22;45;19;25;48;63;49;64;63;56
06/12/2016;16;61;55;65;22;51;27;31;49;59;57;54;60;63
06/12/2016;17;63;64;53;24;62;21;28;50;58;64;52;61;64
06/12/2016;18;60;61;59;26;56;34;28;41;60;54;48;49;57
06/12/2016;19;56;72;70;27;58;43;44;49;54;54;53;54;61
06/12/2016;20;72;63;89;24;74;56;35;60;57;68;50;54;66
06/12/2016;21;93;60;88;28;71;35;36;57;65;71;47;49;65
06/12/2016;22;88;54;80;31;73;24;29;63;62;51;55;46;64
06/12/2016;23;75;49;71;35;56;41;33;66;55;49;56;47;57
06/12/2016;24;76;52;76;33;64;31;38;57;55;43;54;52;56
07/12/2016;1;76;49;65;38;57;33;35;59;51;50;54;48;56
07/12/2016;2;69;45;62;31;52;30;40;56;50;52;55;49;55
07/12/2016;3;63;40;64;32;49;29;44;48;51;50;55;46;47
07/12/2016;4;59;44;52;31;49;36;32;40;50;46;53;44;55
07/12/2016;5;56;43;63;28;51;31;38;41;50;47;54;40;50
07/12/2016;6;53;42;60;32;50;39;35;36;46;42;52;39;56
07/12/2016;7;53;44;74;32;54;36;38;38;46;48;53;43;57
07/12/2016;8;57;51;64;35;66;36;28;42;50;50;49;49;51
07/12/2016;9;62;48;62;28;59;37;31;47;55;48;53;47;59
07/12/2016;10;62;58;62;30;53;37;34;41;57;47;54;47;56
07/12/2016;11;59;51;66;28;49;27;28;45;56;56;60;53;n/d
07/12/2016;12;59;55;63;40;44;21;22;46;60;55;58;53;49
07/12/2016;13;60;48;59;29;50;18;26;45;65;47;53;52;53
07/12/2016;14;60;37;66;28;47;20;19;44;64;41;47;54;58
07/12/2016;15;59;43;64;33;63;24;24;46;58;41;44;46;57
07/12/2016;16;60;44;56;33;55;29;30;44;50;34;46;45;62
07/12/2016;17;51;45;60;28;58;32;28;44;47;46;38;49;63
07/12/2016;18;42;53;59;31;63;34;26;46;52;58;40;51;65
07/12/2016;19;50;51;63;29;60;31;31;49;54;67;42;48;66
07/12/2016;20;59;55;57;30;65;42;32;45;53;55;46;43;55
07/12/2016;21;69;54;68;28;67;48;32;40;51;61;57;43;64
07/12/2016;22;77;48;64;28;60;36;32;61;55;56;56;46;55
07/12/2016;23;73;40;68;22;64;28;31;53;57;51;49;46;53
07/12/2016;24;71;40;71;21;65;34;29;52;53;58;46;45;56
08/12/2016;1;68;46;60;31;58;34;28;51;51;52;51;46;56
08/12/2016;2;62;44;44;27;46;28;29;45;47;46;48;41;48
08/12/2016;3;48;46;43;31;44;36;36;40;48;50;54;46;52
08/12/2016;4;44;40;42;28;46;34;40;41;47;46;45;42;51
08/12/2016;5;45;39;46;37;45;28;39;38;45;49;50;42;48
08/12/2016;6;45;41;57;33;48;32;34;37;46;44;50;38;52
08/12/2016;7;49;39;60;37;50;27;32;38;48;44;44;40;58
08/12/2016;8;45;47;57;30;48;35;29;40;51;46;45;45;52
08/12/2016;9;43;48;60;32;55;34;28;44;53;49;46;42;51
08/12/2016;10;47;50;62;28;53;33;28;46;56;52;46;50;53
08/12/2016;11;49;55;60;28;41;29;24;43;55;45;42;53;58
08/12/2016;12;51;46;65;n/d;39;17;15;40;51;39;32;51;54
08/12/2016;13;46;43;46;n/d;28;15;5;36;46;34;31;43;48
08/12/2016;14;35;38;40;14;15;13;6;29;40;22;24;42;42
08/12/2016;15;29;31;48;13;17;9;7;31;36;20;27;16;36
08/12/2016;16;20;35;54;15;34;7;11;29;30;25;29;31;38
08/12/2016;17;27;36;48;15;45;13;12;33;32;33;29;33;46
08/12/2016;18;23;45;31;22;47;16;7;36;33;30;25;38;42
08/12/2016;19;18;55;28;29;40;18;8;36;32;28;26;28;57
08/12/2016;20;18;60;29;40;47;23;11;34;33;24;25;25;55
08/12/2016;21;25;54;28;30;46;24;18;34;34;30;30;22;56
08/12/2016;22;31;51;35;25;49;19;21;40;32;37;23;25;51
08/12/2016;23;31;49;41;26;45;24;20;33;34;31;28;23;51
08/12/2016;24;30;45;41;25;41;25;23;32;42;28;28;31;46
09/12/2016;1;26;39;38;22;39;18;18;35;41;32;32;41;34
09/12/2016;2;40;39;43;20;44;20;17;31;38;36;32;38;33
09/12/2016;3;50;34;48;22;33;19;18;55;34;28;25;33;37
09/12/2016;4;47;32;44;23;32;17;20;27;33;31;29;35;37
09/12/2016;5;35;29;42;21;40;17;20;27;33;29;28;32;46
09/12/2016;6;34;32;44;17;39;17;14;30;32;32;29;31;45
09/12/2016;7;36;35;46;18;44;25;19;29;34;37;35;32;45
09/12/2016;8;36;35;43;20;40;25;18;31;39;31;28;35;44
09/12/2016;9;33;38;46;19;41;18;18;33;39;32;37;32;44
09/12/2016;10;38;43;51;21;39;21;15;33;42;27;31;33;41
